image,text
/home/debjit/spacy/image_search_from_folder/images/archive/images/backup/construction-site-build-construction-work-159306.jpeg,a construction site with a man working on a construction project
/home/debjit/spacy/image_search_from_folder/images/archive/images/backup/construction-site-build-construction-work-159358.jpeg,a construction site with a construction worker on the job
/home/debjit/spacy/image_search_from_folder/images/archive/images/backup/construction-site-build-construction-work-159375.jpeg,a man in a green shirt and blue helmet working on a piece of wood
/home/debjit/spacy/image_search_from_folder/images/archive/images/backup/gardener-worker-gardening-machinery-162564.jpeg,a man walking down the street carrying a large bat
/home/debjit/spacy/image_search_from_folder/images/archive/images/backup/pexels-photo-10039997.jpeg,a woman in a white coat
/home/debjit/spacy/image_search_from_folder/images/archive/images/backup/pexels-photo-10040003.jpeg,a man in a white shirt and a mask working on a machine
/home/debjit/spacy/image_search_from_folder/images/archive/images/backup/pexels-photo-10040011.jpeg,two people in a lab
/home/debjit/spacy/image_search_from_folder/images/archive/images/backup/pexels-photo-10040012.jpeg,two people working in a lab
/home/debjit/spacy/image_search_from_folder/images/archive/images/backup/pexels-photo-10045513.jpeg,a man in an orange suit is standing on a sidewalk
/home/debjit/spacy/image_search_from_folder/images/archive/images/backup/pexels-photo-10084716.jpeg,a man sitting at a counter in a coffee shop
/home/debjit/spacy/image_search_from_folder/images/archive/images/backup/pexels-photo-10088317.jpeg,a man wearing a gas mask and holding a surfboard
/home/debjit/spacy/image_search_from_folder/images/archive/images/backup/pexels-photo-10101932.jpeg,a large building with a lot of green grass
/home/debjit/spacy/image_search_from_folder/images/archive/images/backup/pexels-photo-10110710.jpeg,a kitchen with a lot of cls and cls on the counter
/home/debjit/spacy/image_search_from_folder/images/archive/images/backup/pexels-photo-10110711.jpeg,a woman sitting at a table in a restaurant
/home/debjit/spacy/image_search_from_folder/images/archive/images/backup/pexels-photo-10119483.jpeg,a large building with a water tower in the background
/home/debjit/spacy/image_search_from_folder/images/archive/images/backup/pexels-photo-10130751.jpeg,a man on a crane working on a power pole
/home/debjit/spacy/image_search_from_folder/images/archive/images/backup/pexels-photo-10130754.jpeg,a man on a telephone pole with a cell
/home/debjit/spacy/image_search_from_folder/images/archive/images/backup/pexels-photo-10133578.jpeg,a man in a hard hat is working on a construction site
/home/debjit/spacy/image_search_from_folder/images/archive/images/backup/pexels-photo-1018565.jpeg,two people in white coats are working on a machine
/home/debjit/spacy/image_search_from_folder/images/archive/images/backup/pexels-photo-1018568.jpeg,two people in lab
/home/debjit/spacy/image_search_from_folder/images/archive/images/backup/pexels-photo-10202856.jpeg,a group of construction workers working on a building
/home/debjit/spacy/image_search_from_folder/images/archive/images/backup/pexels-photo-10202865.jpeg,construction workers working on a construction site
/home/debjit/spacy/image_search_from_folder/images/archive/images/backup/pexels-photo-10239293.jpeg,two hands holding something
